('B25G', 'B26F', 'E5B', 'F2K') 7.60161102578e-05
('B44B', 'B5B', 'D6L', 'G6M') 8.75306357225e-05
('B3C', 'F21H', 'B62H', 'G3H') 8.86737817715e-05
('B26D', 'F3D', 'C25F', 'D6G') 8.91941165399e-05
('D2H', 'G7B', 'F25C', 'F3G') 0.000100013752313
('C5D', 'H2H', 'E5C', 'F23G') 0.0001000150025
('A1C', 'F21Q', 'C12F', 'F2N') 0.000101949004968
('A24D', 'A47L', 'B21G', 'F22B') 0.000106615364942
('A43D', 'D4H', 'B28C', 'F23N') 0.000112550647792
('B62M', 'C13F', 'F25D', 'H5F') 0.000114979885548
('B4B', 'F16L', 'C14B', 'G1H') 0.000115062237313
('B2B', 'B41F', 'E1D', 'G4D') 0.000118294233999
('A44B', 'C10B', 'D6F', 'F15D') 0.000125017502563
('B65F', 'H5G', 'C6B', 'F2P') 0.000125026257065
('A41H', 'C12M', 'C22B', 'F42D') 0.000125041266069
('A42C', 'B9C', 'B60H', 'H4K') 0.000127254836961
('A22B', 'F28D', 'A47H', 'A61J') 0.000139789600608
('B60P', 'C6C', 'G21K', 'H1K') 0.00014387478787
('B27D', 'B64G', 'F21S', 'F42C') 0.000163838433968
('A24C', 'G10G', 'F24J', 'G1K') 0.000175036257939
('B21F', 'E1H', 'F16S', 'H1C') 0.000187535631845
('B62B', 'F23K', 'F16K', 'F21P') 0.000187573158297
('B63G', 'E3D', 'D6H', 'F17C') 0.000200045011003
('B21J', 'G6C', 'C6D', 'E1C') 0.000200066275636
('B31D', 'C7J', 'B60Q', 'F41J') 0.000200108818982
('B27G', 'F4D', 'B81B', 'G1G') 0.000212588168867
('A47F', 'C13K', 'B60M', 'F16B') 0.000225076278699
('A21B', 'C3B', 'A63G', 'D21F') 0.000225078784141
('A41B', 'C10J', 'B23D', 'G9D') 0.000225093795774
('A47D', 'G4G', 'B66D', 'F23L') 0.000237576902604
('A45B', 'D2G', 'B82B', 'G7C') 0.000237621947639
('B29B', 'F2G', 'D4D', 'G8C') 0.000262668254196
('A61F', 'B27C', 'F24H', 'G21B') 0.000262670755134
('B25H', 'E21B', 'C5G', 'G10B') 0.000325146323977
('A1J', 'C23G', 'E21F', 'F23C') 0.000337684485599
('A63J', 'B24D', 'B3B', 'H2N') 0.000337749596362
('A63H', 'D21J', 'E2B', 'F3C') 0.000337837256532
('A23B', 'B23G', 'A24B', 'F23D') 0.000350207659257
('A41D', 'F1C', 'A62C', 'B27B') 0.000350218914321
('A1B', 'A61D', 'B22C', 'B31F') 0.000362814709835
('A61N', 'D3C', 'B4C', 'H4Q') 0.000488452482341
('B21H', 'B62J', 'B7B', 'D4C') 0.000525668532893
('A24F', 'H2B', 'B61C', 'F26B') 0.000538204181938
('B64C', 'D21G', 'B67B', 'C25B') 0.000676045765511
('B23K', 'F23M', 'F24D', 'G10D') 0.000752111115233
('B27L', 'H2J', 'B64F', 'D2J') 0.000776810937559
('A45C', 'B67C', 'F1P', 'F41H') 0.00090174796757
('B25F', 'F28F', 'B67D', 'F41B') 0.00102789697293
('F24C', 'F41A', 'F4F', 'G5G') 0.00102854448606
('B25D', 'B44C', 'B43L', 'E21C') 0.00325054467224
