/home/ec2-user/data/classinfo/B/B21C.txt.fq.tfidfn 0





/home/ec2-user/data/classinfo/B/B21G.txt.fq.tfidfn 576
台車 0.00751325540605 0.209672501428
アイチコーポレーション 0.00259466243713 0.00618647321607
クレーン 0.0725791187625 0.121327359835
荷受 0.0125916708469 0.0374844928141
ティルトレバー 0.00146102960991 0.00146102960991
シリンダ 0.0846403161708 0.134499907452
旋回 0.100836414578 0.133059519803
出庫 0.0198990730255 0.0345596914128
鉄輪 0.00283496431769 0.173694575548
レバー 0.00151946798817 0.139874919035
日本輸送機 0.00225606694858 0.00225606694858
東神足 0.00230447840554 0.00230447840554
チルトシリンダ 0.00245087001353 0.00414291688061
走行 0.0460668235879 0.1385068325
キャレッジ 0.00147229281547 0.00264420353461
豊田自動織機製作所 0.00278725217012 0.00737423861009
ステアリング 0.0233702230879 0.0979792773862
伸縮 0.00639039040074 0.068444250137
アクセル 0.00586253286218 0.0354948554775
揚 0.018813129366 0.0410288633091
コンペンセータバルブ 0.000903280207754 0.000903280207754
コンタクタ 0.00476250431678 0.0063682911829
バケット 0.0704770739221 0.0704770739221
ペダル 0.0147987576654 0.0961153314456
キャビン 0.00299633977307 0.00967566226261
車輪 0.0207017617726 0.215512369066
車椅子 0.0267329241907 0.178404015848
搭乗 0.00512055454127 0.0762230935744
ブレーキ 0.0166552330192 0.256342842645
台 0.0696134362415 0.1014033804
アウターマスト 0.000785810399316 0.000787133353277
コンテナスプレッダ 0.000502859005116 0.000555269133265
制動 0.0155454842968 0.0890145158301
アーム 0.0513219200502 0.0954619235431
チルト 0.00676682397511 0.0435448838925
アウトリガー 0.00157116334119 0.0203836866897
弁 0.00156377238086 0.36248786069
リンク 0.0210005635445 0.294140598112
検出 0.0572121320948 0.192873067925
車 0.00982967691142 0.0974028295579
入庫 0.0104831922421 0.0206853953115
ブラケット 0.00623671793475 0.0440296929156
フォークリフ 0.00243618693064 0.00243618693064
リーチレッグ 0.00062666644341 0.00062666644341
エンジン 0.0647514941513 0.14839609426
作業 0.113606450619 0.141809893649
キャリッジ 0.0040052500679 0.0530809776805
